"user_id","sequence_item_ids"
1,"140,120,64,173,70"
2,"67,209,108,133,1,88,98,38,40"
3,"186,16,114,87,202,6,132,112,180,15,192,2,11,130,67,52,49,212,63,211,166,169,39,128,38,199,113,134,171"
4,"133,161,167,1,88,28,43,123,15,180,42,11,202,150,79,29,81,216,38,181,174,36,168,170,207,105,32,23,106,188,18,12,127,62,9,141,164,191,101,95,184"
5,"48,56,155,13,131,27,27,94,173,173,60,60"
6,"66,202,5,69,197,91,10,207,129"
7,"185,160,66,46,154,72,119,143,54"
8,"37,39,56,109,139,167,88,46,50,179,179,19,61,18,182,181,33,78,72,11,193,190,213,150,145,38,216,124,214,177,207,110,95,54,60,77"
9,"147,89,80,152,50,76,56,12,148,131,59,55,27,144,61,122,20"
10,"17,204,15,98,178,83,151,181,89,18,135,136,167,1,61,63,58,10,123,20,60,77"
11,"93,116,25,182,137,121,57,61,31,154,85,187,150"
12,"39,161,167,30,32,91,71,170,128,166,63,169,130,81,49,113"
13,"109,109,119,144,158,84,120,127,143"
14,"139,67,180,192,138,106,11,69,112,31,8,47,151,51,21,166,102,159,41,71,125,141,207,44,176,34"
15,"127,139,74,30,114,7,181,44,112,24,78,208,106,149,86,168,10,129,164,214,101,22,172"
16,"147,39,109,97,56,62,148,80,209,115,108,59,83,177,71,212,151,137,15,158,117,163,100,168,165,143,60,191"
17,"106,53,69,8"
18,"126,148,72,119,183,183,206"
19,"71,185,118,118,200,118,25,97,12,33,4,4,62,177,26,196,204,74,92,150,36,22,207,9,75,158,65,120,144,165,129,176,20,60,110,70,184,101,95,175,107"
20,"71,12,156,26,131,28,47,92,92,42,128,94,75,124,110"
21,"88,85,213,72,33,8,212,194,129,54,107,65,207"
22,"3,11,2,205,201,211,136"
23,"186,111,42,183"
24,"139,5,93,116,132,128,174,11,92,2,18,212,41,49,193,186,50,78,38,138,17,35"
25,"127,147,189,5,97,30,16,115,215,202,180,37,162,26,148,68,68,122,78,170,50,88,150,33,99,125,194,60,124,46,20,156,134,102,54,77"
26,"185,103,209,91,197,146,62,4,123,92,145,176,124,214,82,70,34"
27,"104,48,137,203,205"
28,"108,131,90,156,31,138,15,71,100,26,33,194,129,142,101,184,54,175"
29,"186,81,166,170,159,96,63,130,32"
30,"195,14,210,69,45,149,149,205"
31,"186,14,5,32,6,157,74,211,128,15,11,193,8,142,149,149"
32,"108,210,101"
33,"126,118,76,198,109,66,56,8,137,1,165,62,46,60,4"
34,"126,155,6,26,8,180,94,163,64,80,73"
35,"30,6,96,156,136,115,23,153"
36,"114,161,132,91,8,192,170,159,106,81,86"
37,"25,133,131,203,45,61,51,154,121,21,27"
