"user_id","sequence_item_ids","ground_truth_item_ids"
1,"69,222,113,141,1,92,102","39,41"
2,"197,16,120,91,214,6,140,117,15,191,204,2,11,137,69,53,50,225,65,224,176,40,179,135","39,211,118,142,181"
3,"141,170,177,1,92,28,44,130,15,191,43,11,214,159,83,29,85","229,39,192,185,36,178,180,220,110,23,32,111,199,18,12,134,64,9,149,174,202,105,99,195"
4,"49,58,164,13,139,27,27","98,184,184,62,62"
5,"68,214,5,72,209,95","10,220,136"
6,"196,169,68,47,163,75,125","151,55"
7,"38,40,58,114,147,177,92,47,51,190,190,19,63,18,193,192,33,82,75,11,205,201,226,159,153","39,229,131,227,188,220,115,99,55,62,81"
8,"156,93,84,161,51,80,58,12,157,139,61,56,27,152","63,129,20"
11,"17,217,15,102,189,87,160,192,93,18,143,144","177,1,63,65,60,10,130,20,62,81"
12,"97,122,25,193,145,128,59,63,31,163,89,198,159",""
13,"170,40,177,30,32,95,74,180,135","176,65,179,137,85,50,118"
14,"114,114,125","152,167,88,126,134,151"
15,"147,69,191,204,146,111,11,72,117,31,8,48,160,52,21,176,106,168,42,74","132,149,220,45,187,34"
16,"134,147,77,30,120,7,192,45,117,24,82,221,111","158,90,178,10,136,174,227,105,22,183"
17,"156,40,114,101,58,64,157,84,222,121,113,61,87,188,74,225,160,145,15","167,123,173,104,178,175,151,62,202"
18,"111","54,72,8"
19,"133,157,75,125","194,194,219"
20,"74,196,124,124,212,124,25,101,12,33,4,4,64,188,26,208,217,77,96,159","36,22,220,9,78,167,67,126,152,175,187,136,20,62,115,73,195,105,99,186,112"
21,"74,12,165,26,139,28,48,96,96,43,135","98,78,131,115"
22,"92,89,226,75,33,8,225","206,136,55,112,67,220"
23,"3,11","2,218,213,144,224"
24,"197,116,43","194"
25,"147,5,97,122,140,135,185,11,96,2,18,225,42,205,50","197,51,82,39,146,17,35"
26,"134,156,200,5,101,30,16,121,228,214,191,38,172,26,157,71,71,129,82,180,51,92,159,33","103,132,206,62,131,47,20,165,142,106,55,81"
27,"196,108,222,95,209,154,64,4,130,96","153,187,131,227,86,73,34"
28,"109,49,145,215","218"
29,"113,139,94,165,31,146,15,74,104,26,33","206,136,150,105,195,55,186"
30,"197,85,176,180,168","100,65,137,32"
31,"207,14","223,46,72,158,158,218"
32,"197,14,5,32,6,166,77,224,135,15,11,205,8","150,158,158"
33,"113","223,105"
34,"133,124,80,210,114,68,58,8,145","1,175,64,47,4,62"
37,"133,164,6,26,8,191","98,173,66,84,76"
38,"30,6,100,165,144,121","23,162"
39,"120,170,140,95,204,8,180,111,168,85,90",""
40,"25,141,139,215,46,63,163,52,128,21","27"
